w,it_epacket,it_wuyou,ca_wuyou_before,ca_wuyou,ca_epacket,au_epacket,au_wuyou
50,25,18,14.5,24.75,22.25,22,24.5
100,28,23,19,27.5,25.5,25,27
150,31,28,23.5,30.25,28.75,28,29.5
200,34,33,28,33,32,31,32
250,37,38,32.5,35.75,35.25,34,34.5
300,40,43,37,38.5,38.5,37,37
350,43,48,41.5,41.25,41.75,40,39.5
400,46,53,46,44,45,43,42
450,49,58,50.5,46.75,48.25,46,44.5
500,52,63,55,49.5,51.5,49,47
550,55,68,59.5,52.25,54.75,52,49.5
600,58,73,64,55,58,55,52
650,61,78,68.5,57.75,61.25,58,54.5
700,64,83,73,60.5,64.5,61,57
750,67,88,77.5,63.25,67.75,64,59.5
800,70,93,82,66,71,67,62
850,73,98,86.5,68.75,74.25,70,64.5
900,76,103,91,71.5,77.5,73,67
950,79,108,95.5,74.25,80.75,76,69.5
1000,82,113,100,77,84,79,72
1050,85,118,104.5,79.75,87.25,82,74.5
1100,88,123,109,82.5,90.5,85,77
1150,91,128,113.5,85.25,93.75,88,79.5
1200,94,133,118,88,97,91,82
1250,97,138,122.5,90.75,100.25,94,84.5
1300,100,143,127,93.5,103.5,97,87
1350,103,148,131.5,96.25,106.75,100,89.5
1400,106,153,136,99,110,103,92
1450,109,158,140.5,101.75,113.25,106,94.5
1500,112,163,145,104.5,116.5,109,97
1550,115,168,149.5,107.25,119.75,112,99.5
1600,118,173,154,110,123,115,102
1650,121,178,158.5,112.75,126.25,118,104.5
1700,124,183,163,115.5,129.5,121,107
1750,127,188,167.5,118.25,132.75,124,109.5
1800,130,193,172,121,136,127,112
1850,133,198,176.5,123.75,139.25,130,114.5
1900,136,203,181,126.5,142.5,133,117
1950,139,208,185.5,129.25,145.75,136,119.5
2000,142,213,190,132,149,139,122
2050,145,218,194.5,134.75,152.25,142,124.5
