asin,date,rating,size,width,color,text,title
B0009ZAHFE,29-Jul-15,4,7,M,Black,"order half a size up and if they dont have it , order one size up..... dont worry it will fit great.Looks cute, a bit chunky on the sides of the ankle .","Pretty good, expensive thogh"
B0009ZAHFE,26-Jun-16,4,7.5,M,Black,"I had a pair of these shoes when I was on the dance team in high school, I loved them. I decided to order these for when I take my zumba/Mixxedfit classes that are an hour long. These are great if you do strictly dance or zumba, but my mixxedfit classes are more hip hop and boot camp based, with a lot of squats in songs and moves where i needed my feet to be flat for comfort. I wore these twice to give it a good shot and my feet were killing me a half hour in. Otherwise these are the best shoes out there for your dancing purposes. You are able to do your turns and spins without sticking to the floor, but with a ton of support so your not falling. I wish these would have worked out but I ended up giving them away and buying high top sneakers!",Great for dance
B0009ZAHFE,9-Jan-17,5,11.5,M,Black,"Awesome dance shoes!  I was doing Zumba wearing minamilistic shoes, but there wasn't enough support for my 60 year old knees.  I tried running shoes, but they gripped too much.  These shoes give me support and the ability to turn and spin.  They are not pretty, rather utilitarian, and they do run a whole size small.  I normally wear a 101/2, and in these I wear a 11 1/2.",Great Shoes
B0009ZAHFE,6-Oct-15,5,10.5,M,White,"I've only ordered online shoes once .They were so uncomfortable I returned them.  I really didn't have high expectations with these Fierce shoes but decided to go for it anyway.  I could return them, right?  Well, was I surprised!. I wear a Women's size 10 and ordered size 10.5.  I laced them up and wow!  Snug but not tight.  The heels don't rub at all.  I can wiggle my toes. The soles spin beautifully.  While there is no arch support, it has front and heel hard sole.  When laced up, it is  very snug and feels like support.  The soles are hard material and I am able to spin with no problem. I am very happy with them.",The soles spin beautifully for line dance
B0009ZAHFE,16-May-15,5,8.5,M,Red,"I bought the Capezio Women's DS11 Fierce Dance Sneaker about a month ago to wear for line dancing and I'm so glad I did!  My knees hardly ever hurt like they used to when I danced in my cowboy boots.  My feet still hurt after a couple of hours of dancing but that might be something to be expected regardless of the shoe, I'm not sure.The sizing seems odd to me though. Normally I wear a 7 or 7-1/2, and after a bit of trial and error it ended up that size 8-1/2 worked for me so please be aware that you probably won't be able to fit into them if you order your regular street shoe size. I recommend that you make sure the seller allows returns and order two pairs - one being a size larger than usual and the other 1-1/2 sizes larger - and then return the one that doesn't fit as well.",Great for line dancing!
B0009ZAHFE,23-Mar-14,5,7,M,White,"My regular Zumba class is on indoor/outdoor carpeting which is terrible for the knees but these work exceptionally well when sliding and pivoting.  I wore them to get licensed to teach Zumba and found that in a real Zumba studio with polished hardwood floors they were scary slippery.  With practice I'm sure they would have been fine but the lack of friction that I am so used to made me overcompensate everything to the point of sliding when just trying to stand still.  This is my second pair of Capezios, the first were black and I wore them outside going to and from the gym and eventually they became scuffed enough on the soles that it created friction and had to be replaced, also, the seams were coming undone but this was after wearing them 2-3 times a week for three years. I purchased white this last time to show up better under the black lights when I teach and people are trying to figure out the footwork.  Both pairs I ordered are half-size larger than I normally wear and that makes them fit well with the thin socks I use.  I babied these ones for about a month before I decided I had better things to do so I throw these in the washer and let them air dry when they become yellow with sweat.  It's been several months now and only the laces are showing sings of wear.  I highly recommend them.",Zumba Wear FTW
B0009ZAHFE,21-Nov-16,1,7,M,Black,"The shoes were too small even though I ordered a half size larger than what I normally wear for dance/exercise shoes.  The toe box is also too narrow for me even it the shoes were another size larger.  They then would be long enough but still pinch my toes.I did like the other qualities of the shoe, and for someone with narrow feet, especially the toe area, I am sure would like the shoe.",I did like the other qualities of the shoe
B0009ZAHFE,28-Oct-14,4,8,M,Black,"Normally I order a 7.5 for Capezios, even though I'm a size 7.  I had to return the 7.5 and get the size 8.  If you can find a store nearby to go try them on, I highly recommend that, then come back and order through amazon.  They are comfortable and so far are holding up a bit better than the other style I had, which fell apart in no time.  I find these a bit more chunky than I would like, but they give good support, have a good heel and comfortable toe box.  I don't know if it's the shoe, but they seem to get sticky on the bottom even when dry.  The other style only did this if I stepped in something, these seem to start to stick after about 3 hours of dancing.  That's a bummer because then my legs get tired from too much work.  Price is good.",A Little Clunky But Good...
B0009ZAHFE,24-Jan-13,5,9,M,Black,"I take Zumba classes almost daily and because I tend to have extremely flexible feet, not all sneakers work for me and I find I need to take excessive breaks during my workout due to uncomfortable shoes and/or numbing toes.  After trying most tried and proven workout sneakers, I spotted someone in my class with similar issues wearing a dance/hip hop shoe like this one where the piece in the middle is flexible.  I came across this shoe on your website and immediately ordered them.  Not only was it made by a trusted company, but the price was amazing and not bad on the eyes!I have already used them many times and there was no need to break them in at all.  I am totally impressed with the performance of this shoe.  I didn't have to take any breaks during my routine and found I was able to pull off all of the Zumba moves with great ease and speed which is something I find difficult to do with a sneaker.I usually take between an 8 and 8.5 in woman's shoe depending on the material and quality of the shoe so I went ahead and ordered a 9 in this shoe and it fit perfectly!  I like that it came with an extra pair of shoe laces in gray which allowed me to change my look.  Would definitely recommend this shoe to anyone who has similar issues and enjoy a dance routine as a workout.  It doesn't disappoint and as a matter of fact, I'm thinking of buying an extra pair so that I never have to go without.  Although the shoe itself looks and feels quite durable and can take a beating.Vickie from NJ",Great Zumba Shoe!
B0009ZAHFE,20-Feb-17,4,9,M,Black,"I have a pair of these same Capezio DS11 dance sneakers from two years ago that I love for Zumba classes.  I ordered new ones as my others have gotten worn out, but found that the new ones are a bit tight in the big toe area.  I typically wear a size 8.5 in all other shoes and had already sized up to a 9 for these (as I had worn last time as well), but will need to return for a size 9.5.  I would have given my old pair five stars, but am giving these just four stars because I am concerned that when I receive my replacement sneakers in size 9.5 so that my toes won't rub, the heel may be loose.",Too Small in Big Toe Area - Need half size larger than last pair (full size larger than typical shoe size)
B0009ZAHFE,21-Mar-17,1,9.5,M,Black,I would love to give this shoe 5 stars but the seam split after 4 months of very little wear. I only wear them 3 hours per week for dance class. I had a previous pair that are still in good condition so hopefully this is just a rare occurrence.,Seam Split after 4 Months!
