asin,date,rating,size,width,color,text,title
B00ES82H6K,"July 15, 2014",5,10,D(M), White/Black/Royal,"I walk three miles a day on an asphalt bike path.  I have always worn New Balance shoes, but my feet were always burning when I neared the end of my walk.  I decided that I needed more cushioning and decided to try these ASICS because of the gel cushioning.  My feet are loving these ASICS.  I have had them for about 1 month and they are the best shoes I have ever worn.",Happy Feet
B00ES82H6K,"September 29, 2014",5,10.5,4E, Titanium/Black/Red,"I used the Gel Nimbus 15s to train for a marathon over the summer.  A month from race day, they were getting worn down, so I bought the 16s to replace them.Compared to the 15, the Gel Nimbus 16 is less cushy, and has a touch more support.  Definitely still a neutral shoe.  Overall I think it's a bit more comfortable to run in, the old shoes could get kind of ponderous and squishy.  I would say it's like taking the soft touring tires off a Buick and putting tires with firmer sidewalls on.  Same basic ride, but the car feels more planted with more control.I did a ten miler right out of the gate in these shoes, and my knees, legs, and feet felt great after.  If you liked the 15s, I suspect you'd like these.  I wouldn't suggest them to people who buy expensive running shoes to just walk around in, but I would think most runners who liked the old shoes would love these.",Asics hits another home run.
B00ES82H6K,"January 23, 2015",5,10.5,D(M), Black / Onyx / Orange,"High arches or supination (under-pronation)? These are probably the best running shoes you will find. ASIC's Gel Nimbus and Gel Cumulus are so great, nobody else seems to even try and compete. I'm 44 years old, run 3 miles/day and have supination issues. Have been using Gel Cumulus with no troubles, Gel Nimbus seem to be even cushier. Asics seems to be more concerned about runners with ""odd"" feet than other manufacturers, highly recommend both the gel Cumulus and Gel Nimbus.",These are probably the best running shoes you will find
B00ES82H6K,"July 12, 2014",5,7,D(M), White/Black/Royal,I really like these shoes. I usually am a Nike fan boy but decided to give these a try and let me tell you: Wow! I loved them! They are to this date my best running shoe I have worn. I already put in over 40 miles of runs on them!,Love at first Run!
B00ES82H6K,"May 22, 2015",5,14,2E, White/Black/Royal,"I'm using a combination of these new shoes for walking (taking a break from running for the recommended time), a shiatsu foot massager during my inactive time, and splints at night. Just in two days and nights I've gone from being on the verge of yelping from the pain and doing a stiff shufflewalk with my untreated plantar fascitis in the morning to waking with only some very mild soreness that doesn't affect my feets' flexibility at all. I looked up a lot of shoes that were recommended for plantar fascitis, and I chose these shoes because of the high user ratings and it was one of the few available for my big feet (14 wide). They fit greatFoot massager: http://smile.amazon.com/Homedics-FMS-270H-Kneading-Shiatsu-Massager/dp/B00DPMDWAA/ref=dp_ob_title_hpcMy night splints: https://smile.amazon.com/gp/product/B006L8MON6/ref=oh_aui_detailpage_o00_s00?ie=UTF8&psc=1",Part of the combo that's helping greatly with my plantar fascitis
B00ES82H6K,"July 24, 2015",5,11.5,2E, White/Black/Royal,"Waited 4yrs and on my birthday to buy new Asics! As you can see in the pic that my ones from 2011 footlocker have seen a lot of action! If you notice the place where my toes come up have worn through and the heels are heavily torn apart from taking them on/off and running. I ordered the 11.5 2E (Double Wide). When I received them, they came in a bag which obviously did not protect the box very well. Despite this fact the shoes were in 100% intact. As soon as I put my foot in these puppies it felt like I stuck my feet in shoe lined with pillows!!! These are almost worthy of wearing as an all day shoe! I will soon road test these shoes and update y'all!",Step in a shoe made of clouds!
B00ES82H6K,"July 3, 2015",5,11,D(M), Titanium/Black/Red,"I bought these in Feb' 15 to replace another pair of brand new Asics I had bought specifically to wear to work where I stand on concrete for several hours at a time. The pair I replaced about killed my feet and lower legs as the soles were not cushioned enough. Anyway, I had purchased a pair of the Gel Nimbus 13 shoes a few years ago which were great for standing on concrete, and for distance running for that matter, so after the failure with ""the other pair of Asics"", I searched Amazon for the Gel Nimbus 13's and came up with these Gel Nimbus 16's. These have been GREAT! I have a lot less discomfort in my feet and lower legs with prolonged standing on concrete at work. While one can't overlook the benefits of frequent calf muscle and Achilles tendon stretching to keep the feet comfortable, these shoes are very comfortable!",Very Comfortable for all Day Wear!!
B00ES82H6K,"July 14, 2015",4,7,D(M), White/Black/Royal,"This review actually starts with my 4 year experience using the Nimbus 11 as my secondary running shoe. I bought those in my oft-selected 13-D size. (I'm over 6'2"". 225 lbs.) Although listed as neutral shoes, they felt a lot like stability shoes with good support and decent cushioning. (Not up to something like New Balance 993, but real good for the 50% off deal that I got for them at a mall store.)  In this size, they felt a skosh snug, but not uncomfortably so.Fast forward 4 years later: On a whim, I try on a pair of Nimbus 16's in 13-2E- the wider size definitely fit better. For people blind buying this, I'd suggest ordering the next size wider as that worked out better for me. Anyway, store was charging full sticker price, I check Amazon to see a 13-2E available (in the same White/Royal Blue combo as my Nimbus 11) at ~ 30% less price.These have the same likes as my Nimbus 11 (still have those, still holding up). Shoes were delivered ahead of schedule, I would gladly order another pair through Amazon.PS- For some reason, heading is showing that I bought a size 7D. I'll positively state here that I bought a 13-2E size.I'm barely past the break in period, but so far these have been a better fit than my original N11.",Next Wider Size Fit Better
B00ES82H6K,"May 29, 2015",5,11,D(M), Island Blue / Lightning / Lime,"Great neutral support Cushing road training shoe.  I have been running in NB shoes for the last decade as they always fit my foot the best.  Have been looking at the Nimbus for a while and decided to give them a try this year.  LOVE the Shoe!!!  Great fit, good seem like a well made shoe.  Its only been a few weeks, so I will need to see how they hold up.  If they do hold up, this will be my go to shoe in the future.Sizing:The fit is spot on for the listed size.  I wear a 10.5 D shoe and ordered both the 10.5 and 11 D size to try out.  The 10.5 fit well and would be the right size for walking and general use.  My toe had about 1/4 inch of room before hitting the end of the toe box.  Moving up to the 11 and it gave me a thumbs width worth of room between my toe and the end of the shoe.So if you like a minimal gap at the end of your shoe, get the size of your daily work shoe.  If you need a bit more room, I would go up a 1/2 size.Shoe is very neutral feeling. Going a 1/2 up though required the use of the lock lacing holes of the shoe to lock my foot in.  The 1/2 size is a bit more ""floaty"" in the foot feel compared to the 10.5 (my normal shoe size) but after the laces are tightened up, the fit and feel during a run is great.  Good response with a very cushioned feel.Best road training shoe I have owned.",Great cushing and neutral support - add 1/2 size up if you want a finger width space at end of shoe
B00ES82H6K,"September 19, 2015",5,14,D(M), White/Black/Royal,These shoes are the best all around shoes I've ever had for walking all day and running with regards to comfort and quality.  I just recently started buying more expensive shoes like these and I find that the benefits of a good shoe outweigh the cost.  I also wear Mizuno Waverider shoes and Hoka Roku shoes.  The Mizunos are lighter and better looking and the Hokas have a great deal more absorption but these Asics do everything very well.  I highly recommend these shoes to any neutral runner or walker.,Wonderful all around shoe
B00ES82H6K,"October 14, 2014",3,12,D(M), White/Black/Royal,"The shoe fits and feels great, as have the prior few versions.BUT, it seems like this version of the shoe wears out much faster.  I went through a few pair much quicker than I have other versions.",Seems to wear out much faster than earlier versions
B00ES82H6K,"February 22, 2015",5,12.5,D(M), Island Blue / Lightning / Lime,very good shoesi feel comfortable with it,nice shoes
B00ES82H6K,"May 27, 2016",5,11.5,2E, White/Black/Royal,"Last year I had an injury and the doctor determined I also have bad knee bone bruises. Running in my old Adidas shoes was painful after a few minutes, so I looked for soft-sole shoes to reduce the impact on my knees and I stumbled on these Asics. The change was pretty dramatic. A day later I could run three times as much without pain. I even play basketball in these now. They're not too soft if you just press down on the sole with your hand to test it. You really have to wear them and run in them to see how well they absorb the shock. Unlike other shoes, these get softer the harder you step on them. A year later, I am very satisfied with them and would recommend without a doubt. They're still holding together very well (and they get stepped on all the time during basketball).",These shoes are awesome
B00ES82H6K,"May 11, 2015",5,10.5,D(M), Blue Print / Flash Orange / Black,"Love Asics. Love the cushioning. I have peripheral neuropathy and these are best ""walking tennies"" I've found so far. Hard to find shoes (of any style) that work well with the alternating nerve sensations and numbness in my feet. These are very helpful. Along with a good lacing pattern. Mine are 10.5D and not sure if wider would be better. ""D"" is not pinching in the toe box on a marginally wide foot. Am very satisfied with this purchase and Amazon overall. Hope this helps someone.",Hope this assists someone...
B00ES82H6K,"August 9, 2015",5,13,D(M), White/Black/Royal,"Recently I've gotten back into shape and I wanted to get back into running after many, many years. I bought these shoes based on the positive Amazon rating and on recommendations from friends. I was a bit wary about buying them sight unseen over the internet, especially given that they are by no means cheap, but decided I could return if needed.Wow, these shoes are fantastic! I put them on and immediately ran a 5k. The difference between these and my old shoes (which were, admittedly, probably 10 years old) was like night and day. These fit and cushion so well that my feet barely felt tired after the 5k. I've never had a pair of shoes that I could just put on and immediately start using like that before. I've now been running 5k's 2-3 times per week for the month since I got them, and feel the price was well worth them helping me get back into it again.",Fantastic shoes
B00ES82H6K,"October 5, 2015",5,9.5,D(M), White/Black/Royal,"I replaced the insoles untried with first rate arch support full insoles. I purchased this make and model of shoe because it is recommended for those who tend to develop planters facitius (however that is correctly spelled). They are lightweight and appear to reduce the sense of impact while walkinfg. I do not run. Because I have only worn these shoes for six weeks or so, I do not know how well they will wear. Therefore, I withheld the fifth star.16 months later: barring winter months, i.e., 12 months of daily wear, these shoes have proved to be very comfortable. The tops are wearing out now. A first rate value for the money (about 100 U.S. dollars for the whitish color, which simply maintaining cleanliness leaves them with a dingy appearance-not a particular concern of mine. With these shoes and proper exercise, my planters fasciitis has not reaccured.",I purchased this make and model of shoe because it is recommended for those who tend to develop planters facitius (however ...
B00ES82H6K,"August 10, 2015",5,11.5,2E, White/Black/Royal,"I've been wearing Asics for 25+ years since high school track days. I've tried other brands but always come back to Asics. These are the top-of-the-line Nimbus and I guess what makes them top is they have the most cushion, which is what I wanted. I use these for training and racing and usually put about 30~40 miles of running in per week training and racing half and full Ironman (13.1~26.2 miles). I have several pairs of Nimbus shoes that I rotate and these are one of them. They are extremely comfortable and ""cushiony"" and good for long runs. Since they are very expensive, I generally just buy 1 or 2 models back and don't worry about the color, just get the cheapest in my size, that will save you a few bucks. I have also used the ""Kayano"" model but feel the Nimbus have more cushion and feel better than the Kayano's (for me).","They are extremely comfortable and ""cushiony"" and good for long runs"
