bookName,bookurl,imageurl,nickname,notion,nums,rating,tag
追风筝的人,https://book.douban.com/subject/1770782/,https://img3.doubanio.com/mpic/s1727290.jpg,The Kite Runner,[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2006-5 / 29.00元,301618,8.9,None
小王子,https://book.douban.com/subject/1084336/,https://img1.doubanio.com/mpic/s1237549.jpg,Le Petit Prince,[法] 圣埃克苏佩里 / 马振聘 / 人民文学出版社 / 2003-8 / 22.00元,235299,9.0,None
围城,https://book.douban.com/subject/1008145/,https://img3.doubanio.com/mpic/s1070222.jpg,None,钱锺书 / 人民文学出版社 / 1991-2 / 19.00,195110,8.9,None
解忧杂货店,https://book.douban.com/subject/25862578/,https://img3.doubanio.com/mpic/s27264181.jpg,ナミヤ雑貨店の奇蹟,[日] 东野圭吾 / 李盈春 / 南海出版公司 / 2014-5 / 39.50元,265050,8.6,None
活着,https://book.douban.com/subject/1082154/,https://img3.doubanio.com/mpic/s23836852.jpg,None,余华 / 南海出版公司 / 1998-5 / 12.00元,140613,9.1,None
白夜行,https://book.douban.com/subject/3259440/,https://img3.doubanio.com/mpic/s4610502.jpg,白夜行,[日] 东野圭吾 / 刘姿君 / 南海出版公司 / 2008-9 / 29.80元,203691,9.1,None
挪威的森林,https://book.douban.com/subject/1046265/,https://img3.doubanio.com/mpic/s1228930.jpg,ノルウェイの森,[日] 村上春树 / 林少华 / 上海译文出版社 / 2001-2 / 18.80元,191291,8.0,None
嫌疑人X的献身,https://book.douban.com/subject/3211779/,https://img3.doubanio.com/mpic/s3254244.jpg,容疑者Xの献身,[日] 东野圭吾 / 刘子倩 / 南海出版公司 / 2008-9 / 28.00,156524,8.9,None
三体,https://book.douban.com/subject/2567698/,https://img1.doubanio.com/mpic/s2768378.jpg,: “地球往事”三部曲之一,刘慈欣 / 重庆出版社 / 2008-1 / 23.00,158729,8.8,None
不能承受的生命之轻,https://book.douban.com/subject/1017143/,https://img1.doubanio.com/mpic/s1091698.jpg,Nesnesitelná lehkost bytí,[捷克] 米兰·昆德拉 / 许钧 / 上海译文出版社 / 2003-7 / 23.00元,138009,8.5,None
红楼梦,https://book.douban.com/subject/1007305/,https://img1.doubanio.com/mpic/s1070959.jpg,None,[清] 曹雪芹 著 / 人民文学出版社 / 1996-12 / 59.70元,126834,9.6,None
梦里花落知多少,https://book.douban.com/subject/1016300/,https://img1.doubanio.com/mpic/s1513378.jpg,None,郭敬明 / 春风文艺出版社 / 2003-11 / 20.00元,148470,7.1,None
达·芬奇密码,https://book.douban.com/subject/1040771/,https://img3.doubanio.com/mpic/s1513425.jpg,The Da Vinci Code,[美] 丹·布朗 / 朱振武 / 上海人民出版社 / 2004-2 / 28.00元,129989,8.2,None
看见,https://book.douban.com/subject/20427187/,https://img3.doubanio.com/mpic/s24468373.jpg,None,柴静 / 广西师范大学出版社 / 2013-1-1 / 39.80元,126060,8.8,None
百年孤独,https://book.douban.com/subject/6082808/,https://img3.doubanio.com/mpic/s6384944.jpg,Cien a?os de soledad,[哥伦比亚] 加西亚·马尔克斯 / 范晔 / 南海出版公司 / 2011-6 / 39.50元,124595,9.2,None
1988：我想和这个世界谈谈,https://book.douban.com/subject/5275059/,https://img3.doubanio.com/mpic/s4477716.jpg,None,韩寒 / 国际文化出版公司 / 2010-9 / 25.00元,122585,7.9,None
何以笙箫默,https://book.douban.com/subject/1461903/,https://img3.doubanio.com/mpic/s2529195.jpg,None,顾漫 / 朝华出版社 / 2007-4 / 15.00元,120568,7.8,None
平凡的世界（全三部）,https://book.douban.com/subject/1200840/,https://img3.doubanio.com/mpic/s2335693.jpg,None,路遥 / 人民文学出版社 / 2005-1 / 64.00元,104709,9.0,None
简爱,https://book.douban.com/subject/1141406/,https://img3.doubanio.com/mpic/s5924326.jpg,Jane Eyre,[英] 夏洛蒂·勃朗特 / 世界图书出版公司 / 2003-11 / 18.00元,110417,8.5,None
哈利·波特与魔法石,https://book.douban.com/subject/1041007/,https://img3.doubanio.com/mpic/s1990480.jpg,Harry Potter and the Philosopher's Stone,[英] J. K. 罗琳 / 苏农 / 人民文学出版社 / 2000-9 / 19.50元,89255,9.0,None
白夜行,https://book.douban.com/subject/10554308/,https://img1.doubanio.com/mpic/s29384019.jpg,None,东野圭吾 / 刘姿君 / 南海出版公司 / 2013-1-1 / 39.50元,106365,9.2,None
三体Ⅱ,https://book.douban.com/subject/3066477/,https://img3.doubanio.com/mpic/s3078482.jpg,: 黑暗森林,刘慈欣 / 重庆出版社 / 2008-5 / 32.00,93959,9.3,None
飘,https://book.douban.com/subject/1068920/,https://img1.doubanio.com/mpic/s1078958.jpg,Gone with the Wind,[美国] 玛格丽特·米切尔 / 李美华 / 译林出版社 / 2000-9 / 40.00元,80693,9.3,None
送你一颗子弹,https://book.douban.com/subject/4238362/,https://img1.doubanio.com/mpic/s4243447.jpg,None,刘瑜 / 上海三联书店 / 2010-1 / 25.00元,91018,8.6,None
三体Ⅲ,https://book.douban.com/subject/5363767/,https://img3.doubanio.com/mpic/s26012674.jpg,: 死神永生,刘慈欣 / 重庆出版社 / 2010-11 / 38.00元,93088,9.2,None
