订单编号,平台订单号,商品图片,SKU列表,货代,货代渠道,快递单号,订单总额,称重重量,结算重量,实际到款金额,实际采购成本,实际快递费用,包装费,实际毛利润,付款日期,店铺名,发货时间,国家,结算运费
367925,82757494520861,http://g01.a.alicdn.com/kf/UT8n.yWX3JXXXagOFbXV.jpg,MSJN003-45bluemen10*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LM326209766CN,47.32,1017,,44.95,100.0,,0.5,-55.55,2017-03-23 03:59:39,NH,2017-03-27 15:58:08,France,93.19
368199,82923547274075,http://g04.a.alicdn.com/kf/UT8QyBHXWJaXXagOFbX3.jpg,CSRB053white*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LW066056155CN,70.005,224,,66.5,64.92,,0.5,1.08,2017-03-29 01:15:42,NH,2017-03-30 16:00:35,United States,25.8
367698,82708625943182,http://g02.a.alicdn.com/kf/UT8zwuHXZVbXXagOFbXK.jpg,BGRB058blueL*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LM318755455CN,35.75,54,,33.96,17.76,,0.5,15.7,2017-03-19 03:35:38,NH,2017-03-21 15:41:49,Ukraine,25.78
368253,82956984549940,http://g01.a.alicdn.com/kf/UT8g3vyX.8bXXagOFbXQ.jpg,OBJF081black*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LM333780642CN,31.33,80,,29.76,13.5,,0.5,15.76,2017-03-29 11:01:52,NH,2017-03-31 15:49:58,Ukraine,27.6
366551,501663646852778,http://g02.a.alicdn.com/kf/UT8e0xfX10XXXagOFbXl.jpg,BGRB058blueM*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LM291252695CN,35.75,53,,33.96,17.62,,0.5,15.84,2017-02-27 08:04:24,NH,2017-03-01 15:35:08,France,25.71
367689,82772271796110,http://g01.a.alicdn.com/kf/UT8t7fcX.lbXXagOFbXw.jpg,OBJF081black*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LM320409217CN,31.33,80,,29.76,12.34,,0.5,16.92,2017-03-19 05:32:32,NH,2017-03-22 15:49:34,Ukraine,27.6
366803,82367530926060,http://g02.a.alicdn.com/kf/UT8p4mIX_haXXagOFbXK.jpg,OBJF081grey*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LM300476305CN,31.33,83,,29.76,11.75,,0.5,17.51,2017-03-04 09:55:10,NH,2017-03-09 12:57:44,Ukraine,27.81
366503,82283181577379,http://g02.a.alicdn.com/kf/UT8HAyXX4dXXXagOFbXY.jpg,BGDY149redS*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LM293465384CN,41.99,68,,39.89,21.0,,0.5,18.39,2017-02-26 13:52:29,NH,2017-03-02 15:59:35,Russian Federation,13.44
367797,501945268710699,http://g02.a.alicdn.com/kf/UT8V.LeX_pXXXagOFbXG.jpg,TSZS001whiteXXL*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LM323176220CN,51.935,0,,49.34,29.0,,0.5,19.84,2017-03-19 02:52:39,NH,2017-03-24 15:20:17,France,22.0
367551,82710833436018,http://g01.a.alicdn.com/kf/UT8xY99X2xcXXagOFbXP.jpg,BGOY075redL*1,预报E邮宝(新接口),【预报E邮宝(新接口)】E邮宝,LM315055074CN,39.975,45,,37.98,17.0,,0.5,20.48,2017-03-16 02:21:12,NH,2017-03-18 14:59:38,Ukraine,25.15
